Subject,Term 
history,Intellectual Honesty
history,Evidence
history,Truth
history,Thinking
history,Synthesis
history,Hegelian Dialectic
history,Popular View
history,Scholarly View
history,Australopithecus
history,Homo Habilis
history,Hand Ax
history,Homo Erectus
history,Paleolithic
history,Homo Sapiens
history,Neanderthal
history,Efficiency
history,Scarcity
history,Ice Age
history,Neolithic Revolution
history,Animal domestication
history,Agriculturalist
history,Pastoralist
history,Fertile Crescent*
history,Jordan River*
history,Tigris & Euphrates*
history,Yellow and Yangtze rivers*
history,Indus River*
history,Nile River*
history,Mesoamerica*
history,Social Hierarchies
history,Catal Huyuk
history,Jericho
history,Patriarchy
history,Technology
history,Irrigation
history,Metallurgy
history,Cities
history,Markets
history,Institutions
history,Government
history,Theocracy
history,Fertility Gods
history,Marduk
history,Tiamat
history,Nile
history,Ethiopia
history,Upper Egypt
history,Lower Egypt
history,Dynasty
history,Pre-kingdom period
history,Old kingdom
history,Middle Kingdom
history,New Kingdom
history,1st and 2nd Intermediate
history,Narmer/Menes
history,Ma'at
history,Thoth
history,Pyramids
history,Coffin Texts
history,Books of the Dead
history,Ka & Ba
history,Amenemhat
history,Papyrus
history,Hieroglyphics
history,Chariot
history,Eurasian Steppe
history,Territorial States
history,Polities
history,Phoenicia
history,Hatshepsut
history,Ramses the great
history,Egyptian Empire
history,Nubia
history,Hittites
history,Anatolia
history,Zagros Mountains
history,Taurus Mountains
history,Hammurabi's Code
history,Cyprus
history,International Trade
history,Camels
history,Ships
history,Iron
history,Minoans
history,Crete
history,Mycenaeans
history,Indo-Europeans
history,Wanax
history,Linear A & B
history,Bronze Age Collapse
history,Food Insecurity
history,Black Friday
history,Adam Smith
history,Natural Resources
history,Capital
history,Income and Assets
history,Labor
history,Social Capital
history,Social Communion
history,Communal Goals
history,communal bonds
history,values and norms
history,Communal Cooperation
history,Communal Trust
history,Reciprocity
history,Laws of supply and demand
history,7m's
history,First World
history,Third World
history,Hans Rosling
history,World Demographics
history,Altruism
history,Dan West
history,Pan Gu
history,Yellow River
history,Yellow Emperor
history,Xia Dynasty
history,Shang Dynasty
history,Emperor Cho
history,Da Ji
